                   Class Name  Count
0                Chlorella sp   2531
1             Oscillatoria sp   1049
2               Prymnesium sp    488
3              Pyramimonas sp    177
4            Chlamydomonas sp     97
5              Heterosigma sp     95
6              Gymnodinium sp     82
7         Chrysochromulina sp     69
8              Cerataulina sp     56
9                Bodo saltans     44
10             Microcystis sp     42
11  Chlamydomonas reinhardtii     34
12               Anisonema sp     28
13             Tetraselmis sp     28
14             Chaetoceros sp     27
15              Ichtyobodo sp     25
16              Hemiselmis sp     25
17           Bacteriastrum sp     20
18                Oxyrrhis sp     18
19              Chromulina sp     17
20                Euplotes sp     15
21                Oocystis sp     14
22             Skeletonema sp     13
23              Desmarella sp     11
24             Chattonella sp      9
25               Cyclidium sp      5
26             Cryptomonas sp      5
27               Spirulina sp      4
28            Tintinnopsis sp      4
29              Peridinium sp      4
30              Gyrodinium sp      3
31            Euglena viridis      2
32                Anabaena sp      2
33             Zoothamnium sp      2
34                 Euglena sp      1
35              Vorticella sp      1
36             Strombidium sp      1
37                  Amoeba sp      1
38            Chilodonella sp      1
